20 20 1                                      - row 1, pellet 1
45 20 0                                      - row 1, pellet 2
75 20 0                                      - row 1, pellet 3
100 20 0                                     - row 1, pellet 4
125 20 0                                     - row 1, pellet 5
150 20 0                                     - row 1, pellet 6
175 20 0                                     - row 1, pellet 7
200 20 0                                     - row 1, pellet 8
225 20 0                                     - row 1, pellet 9
250 20 0                                     - row 1, pellet 10
280 20 0                                     - row 1, pellet 11
305 20 0                                     - row 1, pellet 12
330 20 0                                     - row 1, pellet 13
355 20 0                                     - row 1, pellet 14
380 20 0                                     - row 1, pellet 15
405 20 0                                     - row 1, pellet 16
330 20 0                                     - row 1, pellet 17
355 20 0                                     - row 1, pellet 18
380 20 0                                     - row 1, pellet 19
405 20 0                                     - row 1, pellet 20
430 20 0                                     - row 1, pellet 21
455 20 0                                     - row 1, pellet 22
480 20 0                                     - row 1, pellet 23
510 20 0                                     - row 1, pellet 24
540 20 0                                     - row 1, pellet 26
565 20 0                                     - row 1, pellet 27
590 20 0                                     - row 1, pellet 28
615 20 0                                     - row 1, pellet 29
640 20 0                                     - row 1, pellet 30
670 20 0                                     - row 1, pellet 31
695 20 0                                     - row 1, pellet 32
720 20 0                                     - row 1, pellet 33
745 20 0                                     - row 1, pellet 34
770 20 0                                     - row 1, pellet 35
20 45 0                                      - row 2, pellet 1
150 45 0                                     - row 2, pellet 2
280 45 0                                     - row 2, pellet 3
510 45 0                                     - row 2, pellet 4
640 45 0                                     - row 2, pellet 5
770 45 0                                     - row 2, pellet 6
20 65 0                                      - row 3, pellet 1
150 65 0                                     - row 3, pellet 2
280 65 0                                     - row 3, pellet 3
510 65 0                                     - row 3, pellet 4
640 65 0                                     - row 3, pellet 5
770 65 0                                     - row 3, pellet 6
20 95 0                                      - row 4, pellet 1
45 95 0                                      - row 4, pellet 2
75 95 0                                      - row 4, pellet 3
100 95 0                                     - row 4, pellet 4
125 95 0                                     - row 4, pellet 5
150 95 0                                     - row 4, pellet 6
175 95 0                                     - row 4, pellet 7
200 95 0                                     - row 4, pellet 8
225 95 0                                     - row 4, pellet 9
250 95 0                                     - row 4, pellet 10
280 95 0                                     - row 4, pellet 11
305 95 0                                     - row 4, pellet 12
330 95 0                                     - row 4, pellet 13
355 95 0                                     - row 4, pellet 14
380 95 0                                     - row 4, pellet 15
405 95 0                                     - row 4, pellet 16
430 95 0                                     - row 4, pellet 17
455 95 0                                     - row 4, pellet 18
480 95 0                                     - row 4, pellet 19
510 95 0                                     - row 4, pellet 20
540 95 0                                     - row 4, pellet 21
565 95 0                                     - row 4, pellet 22
590 95 0                                     - row 4, pellet 23
615 95 0                                     - row 4, pellet 24
640 95 0                                     - row 4, pellet 25
670 95 0                                     - row 4, pellet 26
695 95 0                                     - row 4, pellet 27
720 95 0                                     - row 4, pellet 28
745 95 0                                     - row 4, pellet 29
770 95 0                                     - row 4, pellet 30
20 120 1                                     - row 5, pellet 1
150 120 0                                    - row 5, pellet 2
200 120 0                                    - row 5, pellet 3
225 120 0                                    - row 5, pellet 4
250 120 0                                    - row 5, pellet 5
280 120 0                                    - row 5, pellet 6
510 120 0                                    - row 5, pellet 7
540 120 0                                    - row 5, pellet 8
565 120 0                                    - row 5, pellet 9
590 120 0                                    - row 5, pellet 11
640 120 0                                    - row 5, pellet 12
770 120 0                                    - row 5, pellet 13
